id,name,application_due_at,started_at,information,application_link,tags,address,host_id,created_at,updated_at,latitude,longitude,photo
18,Bonnaroo,2026-01-01,2026-06-11,"Bonnaroo Music & Arts Festival will be presented in Manchester, TN on June 11-14, 2026. 4 Days of Adventure",https://support.bonnaroo.com/hc/en-us/articles/4410709513364-How-do-I-contact-the-Festival?_gl=1%2A79q4fh%2A_ga%2AMTc4ODgzNzIyNi4xNzY5MzYxODIx%2A_ga_L6EY6FCW89%2AczE3NjkzNjE4MjEkbzEkZzEkdDE3NjkzNjE4MzgkajQzJGwwJGgw,"music, festival, camping, art","1560 New Bushy Branch Rd, Manchester, TN, 37355",1,,,41.81549848,-88.29392902,
19,Lollapolooza,2026-02-15,2026-07-30,4 Days of the world's best music under the iconic Chicago skyline.,https://support.lollapalooza.com/hc/en-us/articles/14333152040340-Can-I-work-the-festival,"music, festival","Grant Park, Chicago",1,,,41.88860925,-87.63546053,
20,Dreamstate,2026-02-01,2026-02-25,"Here, ethereal melodies dissolve the boundaries of reality, guiding you into a realm of light, feeling, and flow. Let the music awaken the dreamer within you.",https://sf.dreamstateusa.com/contact-us/,"music, festival","Bill Graham Civic Auditorium, 99 Grove St. Sand Fransisco, CA 94102",1,,,39.28148213,-89.88147049,
21,Coachella,2026-01-01,2026-04-17,One of the largest music festivals in America,https://www.coachella.com/contact,"music, festival","Empire Polo Club, Indio, CA",1,,,38.93619857,-90.15932362,
22,Deep Tropics,2026-01-01,2026-09-04,"A celebration of music, connection, discovery, and sustainability",https://www.deeptropics.org/#connect1,"music, festival","Nashville, TN",1,,,42.06084335,-88.04083756,
23,Comic Con,2026-01-01,2026-03-27,Exhibit Space a Comic Con,exhibits@comic-con.org,"comic, art, anime, cosplay","Sand Deigo, CA",1,,,41.53869278,-88.20710557,
24,C2E2,2026-01-01,2026-03-27,Exhibit Space at C2E2,https://www.c2e2.com/en-us/exhibitors-and-artists.html,"comic, cosplay, art, anime","McCormick Place, Chicago, IL",1,,,41.0645668,-87.8725015,
25,Forbidden Kingdom,2026-01-01,2026-04-25,"ARMOR UP AND PREPARE TO UNLEASH YOUR SPIRIT IN A LAND WHERE BASS AND MAGIC COLLIDE! 2 DAYS OF MAGIC AND MAYHEM! 100+ ARTISTS & PERFORMERS FROM FARAWAY LANDS! 4 STAGES OF FIRE, FURY, AND BASS!",https://www.forbiddenkingdomfestival.com/guide/faq,"music, festival","Central Florida Fairground, FL",1,,,41.83960398,-88.06865224,
26,Resonate,2026-01-01,2026-04-16,"Resonate Suwannee Music Festival, a 3-day music and artist festival, returns to Spirit of Suwannee Music Park (SOSMP) in Live Oak, FL April 16-18, 2026.",https://resonatesuwannee.com/apply/,"music, festival, camping, art","Live Oak, FL",1,,,,,
27,Suwanee Hullaween,2026-01-01,2026-10-29,"Halloween's jammiest music festival, Suwannee Hulaween, takes place annually at the Spirit of the Suwannee Music Park. Hosted by The String Cheese Incident (who play two sets every evening), the jam band filled lineup features multiple stages filled with fans dressed up for the event. - Copy",https://hulaween.com/applications/,"music, festival, art, camping, food","Live Oak, FL",1,,,,,
28,Playthink,2026-01-01,2026-06-17,Be a part of the magic,https://www.playthinkfestival.com/get-involved/,"flow fest, music, camping","Edmonton, KY",1,,,,,
